FEN,EVAL
r1b2rk1/ppp2pbp/3q1np1/n3p1B1/2B5/1Q3N2/PP1N1PPP/3R1RK1 w - - 4 14,-135
8/1pp2p2/6k1/4P2p/p1PR1K1P/2r2P2/6P1/8 w - - 0 33,-57
r2qk1nr/1b3pbp/n3p1p1/1pp1P3/p2PN3/2P2N2/PPB3PP/R1BQK2R w KQkq - 2 13,541
2b2rk1/5pp1/p2q1n1p/P2pn3/3N4/3BP1B1/2Q2PPP/Rr4K1 w - - 0 21,163
r2qkb1r/ppp2ppb/2n1p3/3n2PQ/3Pp3/2P4P/PP6/RNB1KBNR w KQkq - 0 11,-332
r1bq1rk1/ppp2ppp/3p4/2b1p1NP/2Bnn3/4Q3/PPPP1PP1/RNB1K2R b KQ - 1 9,-1167
4B3/5p1k/pp3pnp/4pN2/PP2b3/7P/5PP1/6K1 w - - 0 30,7
r1b1k2r/ppp2p2/2nqpn1p/3p2p1/3P4/P1P1PN1P/1P1N1PP1/R2QKB1R b KQkq - 0 11,85
8/R2n4/4k2p/P5p1/4P3/1K3P2/6Pb/8 w - - 1 32,379
r1b2b1r/pp2q1pk/2p3p1/3p2p1/4P2P/1Q4P1/PPPN1PB1/R3K1NR w KQ - 1 18,850
